PER,N_ENT,FOL,ENT,CON,V_SEL,N_HOG,H_MUD,N_REN,P1,P2,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P3_8,P3_9,P3_10,P3_11,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_7,P5_8,P5_9,P5_10,P5_11,P5_12,TIPO,FAC_MOD
1023,2,12A225,11,40261,1,1,0,02,7,8,8,8,7,7,8,8,8,7,8,8,6,3,6,4,10,8,0,0,5,0,0,5,5,5,5,5,7,5,8,9,9,9,9,1,14852
1023,2,12A225,11,40261,3,1,1,02,10,10,9,8,7,8,8,7,8,8,9,8,4,7,5,5,8,9,0,4,5,0,0,8,8,8,8,8,7,5,8,9,9,5,2,1,22278
1023,2,12A225,11,40261,2,1,0,02,10,9,10,8,8,10,8,8,8,8,8,8,8,10,8,8,10,10,0,2,2,0,0,10,10,10,10,10,10,0,10,10,10,10,10,1,14852
1023,2,11A225,11,40309,3,1,0,01,7,9,7,7,8,7,7,7,7,8,8,8,5,8,7,7,8,1,1,2,2,2,2,8,7,8,8,8,8,8,8,7,8,8,8,1,20130
1023,2,11A225,11,40309,1,1,0,02,8,7,10,9,10,10,10,10,10,10,10,8,0,9,10,10,10,10,1,0,0,0,0,8,8,8,9,8,8,6,9,9,9,9,9,1,13420
1023,2,11A225,11,40309,4,1,0,01,9,9,9,9,9,9,9,9,10,8,9,9,2,9,9,9,8,9,1,1,0,0,0,10,10,9,9,10,10,5,9,10,10,9,10,1,26839
1023,2,11A225,11,40309,2,1,0,05,9,7,8,6,10,9,9,10,10,8,10,9,5,10,10,9,10,10,0,0,1,0,0,9,8,8,9,7,9,6,9,9,9,8,7,1,26839
1023,6,12B211,11,40319,4,1,0,01,10,10,10,8,8,9,10,7,10,10,8,10,5,8,7,8,9,9,2,3,1,1,0,9,10,8,10,8,10,2,10,10,5,8,8,1,34908
1023,6,12B211,11,40319,2,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,10,10,10,5,5,1,43634
1023,6,12B211,11,40319,3,1,0,01,10,10,10,9,10,10,10,10,10,10,10,10,5,5,2,5,5,5,5,7,5,0,0,10,5,10,10,10,10,0,10,10,0,5,5,1,8727
1023,6,11B211,11,40365,1,1,0,01,10,10,10,10,10,10,10,10,7,10,9,8,0,8,9,4,9,5,1,0,5,0,0,8,7,9,9,8,8,2,8,9,8,7,7,1,37696
1023,6,11B211,11,40365,4,1,0,02,8,7,9,9,7,8,8,8,8,8,8,9,0,8,9,8,8,8,2,1,2,1,0,8,9,9,8,8,8,5,7,8,8,7,7,1,18848
1023,6,11B211,11,40365,2,1,0,01,9,8,8,8,10,10,10,7,7,8,5,8,2,9,9,8,9,7,1,0,1,0,2,8,8,8,6,8,7,5,7,8,8,7,7,1,9424
1023,6,11B211,11,40365,3,1,0,02,2,2,4,5,4,5,6,7,7,6,8,9,8,7,7,5,5,5,3,3,5,4,4,4,7,7,7,6,8,1,6,8,8,8,8,1,28272
1023,4,12A223,11,40440,3,1,0,01,9,9,10,10,10,10,10,10,10,10,10,10,8,9,9,10,10,10,1,1,0,0,0,8,10,8,8,9,8,4,10,8,10,7,8,1,23070
1023,4,12A223,11,40440,1,1,0,01,10,10,10,10,10,10,10,10,10,10,8,10,3,10,10,8,9,8,0,0,2,0,0,9,10,8,10,9,8,7,9,9,8,8,7,1,15380
1023,4,12A223,11,40440,2,1,0,02,9,9,10,9,10,10,10,8,8,10,8,9,1,8,8,8,9,8,1,2,2,1,0,9,10,8,9,8,6,5,8,8,8,8,8,1,15380
1023,4,12A223,11,40440,4,1,0,02,10,10,10,10,10,8,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,8,0,10,10,10,5,0,1,15380
1023,4,13A223,11,40441,2,1,0,02,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,10,10,10,10,10,1,17897
1023,4,13A223,11,40441,4,1,0,01,10,9,10,9,10,10,9,9,8,9,7,9,3,7,6,6,8,8,2,3,4,2,2,9,10,10,10,10,8,3,10,9,9,8,8,1,17897
1023,4,13A223,11,40441,3,1,0,01,10,10,10,10,10,10,10,10,10,10,10,0,10,10,8,8,10,10,0,1,2,0,0,10,10,10,10,10,10,3,10,10,10,8,8,1,8948
1023,1,12A226,11,40448,1,1,0,01,9,10,10,10,10,10,10,10,10,10,6,10,0,8,5,5,7,8,2,3,5,0,0,8,8,10,10,10,7,0,10,10,10,10,10,1,6709
1023,1,12A226,11,40448,3,1,0,02,10,0,10,7,10,10,10,10,10,10,10,10,6,10,10,10,10,10,0,0,0,0,0,8,8,10,9,9,7,5,10,10,7,10,8,1,13418
1023,1,12A226,11,40448,4,1,0,01,9,6,10,10,10,10,10,10,10,9,9,9,0,8,9,7,10,10,2,0,3,0,0,8,9,7,7,8,7,0,9,8,8,7,7,1,13418
1023,1,12A226,11,40448,2,1,0,01,10,8,9,8,10,9,9,9,10,10,10,9,5,8,9,5,10,8,1,0,4,0,0,7,8,8,9,9,9,5,9,7,9,9,9,1,26836
1023,8,12A217,11,40451,3,1,0,01,8,8,7,9,9,9,10,10,10,10,10,10,2,10,10,10,10,10,0,0,0,0,0,8,6,8,8,8,8,5,9,9,8,6,7,1,31313
1023,8,12A217,11,40451,2,1,0,01,8,10,9,8,10,8,8,9,9,9,9,8,8,9,9,8,9,9,0,0,1,0,0,7,8,8,9,9,10,5,9,9,9,9,9,1,15656
1023,8,12A217,11,40451,1,1,0,01,7,8,8,7,9,8,7,8,7,8,9,7,5,7,6,5,8,7,2,4,4,1,3,7,6,8,8,7,8,5,8,8,6,8,8,1,15656
1023,8,12A217,11,40451,4,1,0,02,10,10,9,9,10,10,9,10,10,10,8,10,5,7,7,7,10,10,2,2,2,0,0,7,7,10,10,9,9,6,9,8,8,7,7,1,31313
1023,1,11A226,11,40452,3,1,0,01,9,9,8,9,10,10,10,10,9,10,8,10,3,8,7,8,9,8,2,2,2,1,0,8,9,9,8,8,8,2,9,8,8,8,8,1,27440
1023,1,11A226,11,40452,4,1,0,02,6,8,10,10,10,10,10,10,6,10,10,10,7,4,3,7,9,9,6,6,3,0,0,5,10,6,8,6,8,6,9,6,10,4,5,1,13720
1023,1,11A226,11,40452,2,1,0,01,10,8,10,10,10,10,10,10,8,0,10,10,0,9,9,9,9,10,1,1,1,1,0,10,10,10,10,8,10,0,10,10,10,10,5,1,6860
1023,1,11A226,11,40452,1,1,0,02,8,8,9,7,10,7,9,10,8,8,9,8,8,5,5,5,5,6,5,5,5,5,4,8,8,9,8,8,8,4,8,9,6,7,7,1,13720
1023,5,11B212,11,40455,2,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,9,10,10,0,0,1,0,0,10,10,10,10,10,10,6,10,10,10,10,10,1,14192
1023,5,11B212,11,40455,4,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,5,10,10,10,10,10,1,14192
1023,5,11B212,11,40455,3,1,0,01,7,5,8,8,7,8,7,6,7,8,8,8,5,8,8,6,8,7,0,0,4,2,0,5,7,7,8,8,5,5,8,5,2,5,5,1,7096
1023,5,11B212,11,40455,1,1,0,01,8,8,8,10,10,10,10,10,10,10,8,10,5,7,6,6,6,10,3,4,4,4,0,10,10,9,10,10,8,8,10,9,8,9,9,1,14192
1023,4,11A223,11,40487,4,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,0,0,2,0,0,10,10,10,10,10,10,10,10,10,10,10,10,1,16544
1023,4,11A223,11,40487,2,1,0,01,10,10,10,8,8,10,10,8,10,10,10,10,7,10,9,10,10,10,0,1,0,0,0,8,8,8,8,8,8,0,10,10,10,5,5,1,24816
1023,4,11A223,11,40487,1,1,0,01,5,5,9,7,8,10,8,8,8,8,8,8,0,10,7,9,10,10,0,2,1,0,0,5,10,5,10,8,5,0,10,10,10,5,5,1,24816
1023,4,11A223,11,40487,3,1,0,05,10,10,9,8,8,10,8,8,8,8,8,8,5,7,6,7,8,8,3,3,3,0,0,8,8,7,8,8,10,5,8,10,10,8,8,1,41360
1023,8,11A217,11,40541,1,1,0,01,10,9,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,8,10,8,10,10,10,5,10,10,10,10,10,1,34912
1023,8,11A217,11,40541,2,1,0,02,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,1,26184
1023,8,11A217,11,40541,3,1,0,02,10,10,8,7,7,9,7,7,8,8,8,8,5,10,8,8,10,10,0,1,1,0,0,10,10,10,10,10,10,0,10,10,5,10,10,1,17456
1023,5,12B212,11,40551,4,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,0,10,7,10,10,10,0,2,0,0,0,9,9,9,10,10,10,7,9,10,9,9,9,1,16681
1023,5,12B212,11,40551,1,1,0,01,9,7,10,10,10,9,9,10,10,9,8,9,5,8,9,10,8,1,1,0,0,0,0,8,9,9,8,9,8,5,9,8,8,7,6,1,8340
1023,5,12B212,11,40551,3,1,0,02,7,8,8,8,8,9,8,9,7,9,7,9,1,8,8,8,9,8,1,0,0,0,0,8,9,9,8,9,8,9,8,8,8,8,7,1,41702
1023,5,12B212,11,40551,2,1,0,02,9,9,9,10,10,10,10,10,10,10,8,10,0,9,10,10,10,10,1,0,0,0,0,9,10,9,10,9,9,8,10,8,8,8,9,1,16681
1023,5,12B212,11,40554,4,1,0,01,10,8,10,10,10,10,10,10,10,10,10,10,5,10,10,7,10,10,0,0,2,0,0,10,10,10,10,10,10,8,10,10,2,8,8,1,24299
1023,5,12B212,11,40554,3,1,0,02,6,8,8,8,7,7,7,5,8,8,9,8,5,6,7,6,7,1,3,3,3,3,2,8,6,7,7,6,7,2,7,7,8,7,8,1,24299
1023,5,12B212,11,40554,1,1,0,01,10,10,9,10,10,9,9,10,9,9,10,9,1,10,9,9,9,9,0,0,1,0,0,9,9,9,10,10,9,2,9,10,10,9,9,1,24299
1023,5,12B212,11,40554,2,1,0,04,7,8,10,10,10,10,8,10,10,10,0,5,7,5,5,5,10,5,5,5,5,0,0,10,7,7,10,8,5,7,8,10,10,7,8,1,48598
1023,1,11A226,11,40588,1,1,0,02,0,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,10,10,0,0,10,0,0,0,0,0,1,62123
1023,1,11A226,11,40588,4,1,0,01,8,8,9,8,10,9,8,8,9,7,7,8,9,5,4,4,5,7,4,6,5,5,2,8,8,9,7,8,8,7,9,8,7,9,9,1,62123
1023,1,11A226,11,40588,2,1,0,01,8,8,10,10,10,10,10,7,9,9,9,9,7,5,7,6,6,7,4,2,3,3,0,7,8,9,7,9,5,5,9,9,9,7,7,1,31061
1023,1,11A226,11,40588,3,1,0,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,1,62123
1023,3,11A224,12,40084,3,1,0,01,9,9,10,9,9,10,10,9,8,8,8,9,5,9,8,9,9,9,1,2,1,1,1,5,8,7,9,9,6,4,5,7,8,8,8,1,12209
1023,3,11A224,12,40084,1,1,0,01,9,5,8,6,10,9,9,5,5,7,2,5,1,10,9,10,9,9,0,1,0,1,0,2,9,5,7,7,5,5,5,6,8,8,8,1,6105
1023,3,11A224,12,40084,4,1,0,02,10,8,10,8,10,7,10,8,8,10,8,9,5,9,9,9,9,10,0,1,1,1,0,6,9,8,9,8,5,3,8,6,7,8,8,1,12209
1023,3,11A224,12,40084,2,1,0,01,10,9,10,10,9,9,10,9,10,8,7,9,2,9,9,8,9,9,1,1,2,0,0,8,8,9,10,6,6,0,9,9,8,6,7,1,12209
1023,7,11A218,12,40092,3,1,0,01,5,6,7,5,7,5,7,6,6,6,5,8,6,7,6,7,7,7,2,3,3,2,2,4,6,6,7,5,7,5,6,6,6,7,7,1,6821
1023,7,11A218,12,40092,1,1,0,01,10,9,10,9,9,7,10,10,7,5,10,9,5,9,8,8,9,5,1,1,1,0,4,8,9,10,9,9,5,8,8,8,5,7,9,1,20462
1023,7,11A218,12,40092,4,1,0,03,10,9,9,8,8,10,9,10,9,6,8,6,4,10,9,9,9,9,0,1,1,0,0,5,7,9,9,6,8,0,7,6,6,7,7,1,27283
1023,7,11A218,12,40092,2,1,0,02,5,6,7,5,7,5,7,6,6,6,5,8,6,7,6,7,7,7,2,3,3,2,2,4,6,6,7,5,7,5,6,6,6,7,7,1,20462
1023,3,12A224,12,40121,1,1,0,01,10,8,9,8,10,9,10,9,8,6,9,10,3,9,9,8,9,9,1,1,2,0,0,6,8,8,10,7,10,6,9,8,8,7,8,1,5781
1023,3,12A224,12,40121,2,1,0,01,8,9,7,6,10,9,9,7,6,6,5,7,0,8,8,10,7,8,1,1,0,3,1,5,9,7,8,8,2,0,5,8,7,5,7,1,5781
1023,3,12A224,12,40121,3,1,0,01,8,5,9,9,8,10,10,9,7,9,7,8,5,8,8,7,7,7,2,2,2,3,2,6,9,8,6,6,5,5,7,7,8,6,7,1,11562
1023,2,11A225,12,40217,1,1,0,01,9,6,10,6,10,7,8,7,6,6,2,5,5,6,6,8,7,7,3,3,1,2,2,5,9,8,9,6,5,2,8,5,5,7,7,1,37360
1023,2,11A225,12,40217,4,1,0,01,8,9,8,8,9,9,10,7,10,6,6,7,4,7,7,5,8,8,2,2,4,2,2,6,9,6,5,7,4,2,6,8,8,8,8,1,37360
1023,2,11A225,12,40217,2,1,0,02,9,9,10,8,10,9,10,10,9,8,8,10,2,10,9,8,8,9,0,1,2,1,0,7,8,10,10,7,7,5,9,8,7,8,8,1,37360
1023,2,11A225,12,40217,3,1,0,01,6,9,8,6,10,8,9,5,4,5,5,5,3,8,8,8,8,9,1,1,2,1,0,2,9,5,5,5,5,0,6,6,8,6,7,1,18680
1023,6,11B211,12,40223,3,1,0,03,10,9,10,9,9,5,8,6,5,5,7,8,5,9,9,7,9,9,0,1,3,1,0,4,9,7,10,9,4,6,6,6,5,7,9,1,45350
1023,6,11B211,12,40223,1,1,0,01,9,9,9,7,8,8,9,7,8,8,3,6,1,9,9,10,9,9,1,1,0,1,0,5,7,5,9,9,5,6,6,5,7,7,8,1,15117
1023,6,11B211,12,40223,2,1,0,01,7,5,8,6,8,5,7,7,5,6,7,5,5,8,8,7,8,8,2,1,3,1,1,5,7,6,7,5,5,0,5,7,6,6,8,1,30233
1023,2,11A225,12,40282,3,1,0,01,5,7,5,5,9,7,10,5,5,4,6,6,5,5,5,7,6,6,5,4,2,3,3,2,9,6,8,8,2,0,7,7,6,6,7,1,11460
1023,2,11A225,12,40282,2,1,0,01,7,8,7,5,8,6,8,5,6,6,8,6,6,5,6,6,7,7,4,3,3,2,2,4,5,7,7,7,2,2,5,8,5,7,9,1,11460
1023,2,11A225,12,40282,1,1,0,01,8,8,9,8,8,10,10,9,6,8,6,2,3,8,7,7,8,7,2,3,2,1,2,3,10,7,8,8,5,2,5,7,5,7,7,1,5730
1023,2,11A225,12,40282,4,1,0,02,7,10,8,5,8,8,10,9,7,9,6,7,5,10,9,9,9,9,0,1,1,1,0,5,10,6,9,6,7,3,5,3,4,5,7,1,11460
1023,6,11B211,12,40286,4,1,0,02,9,9,9,9,9,8,10,9,5,6,6,6,2,9,9,10,9,9,0,1,0,1,0,7,9,9,9,7,10,0,6,8,8,7,7,1,12785
1023,6,11B211,12,40286,2,1,0,02,9,7,9,6,8,6,9,5,6,5,8,8,4,7,7,7,8,8,2,2,3,1,1,6,8,8,8,7,6,0,7,7,6,6,6,1,25571
1023,6,11B211,12,40286,3,1,0,03,10,9,10,9,9,10,10,9,9,9,8,9,1,9,9,10,10,9,1,1,0,0,1,8,8,8,10,9,7,5,8,6,7,9,8,1,19178
1023,6,11B211,12,40286,1,1,0,01,9,8,10,9,9,9,8,9,10,7,6,9,2,7,7,7,8,8,2,2,2,1,1,8,9,10,8,7,8,0,9,8,7,4,7,1,19178
1023,8,11A217,12,40311,3,1,1,02,9,9,7,9,8,9,7,8,6,5,8,8,6,10,9,9,8,9,0,0,1,2,0,7,9,7,8,7,8,2,7,8,6,5,8,1,12610
1023,8,11A217,12,40311,1,1,1,01,9,9,9,7,9,8,9,7,8,7,7,7,6,10,9,9,8,9,0,1,1,1,1,7,9,6,6,6,8,5,7,5,6,6,8,1,6305
1023,8,11A217,12,40311,4,1,0,01,6,7,6,6,8,6,9,5,7,5,2,5,5,7,7,7,6,8,2,3,3,3,2,2,8,6,5,6,5,0,5,5,6,6,6,1,18915
1023,8,11A217,12,40311,2,1,0,01,9,8,9,8,5,8,9,5,5,8,9,2,8,8,8,6,7,8,2,2,4,2,1,8,8,7,7,9,5,8,6,9,8,8,9,1,12610
1023,1,11A226,12,40312,2,1,0,01,10,8,10,9,10,9,10,9,7,7,7,10,2,10,9,8,9,10,0,1,2,1,0,7,9,10,9,8,6,2,9,8,7,7,8,1,6581
1023,1,11A226,12,40312,4,1,0,02,8,9,10,8,10,9,9,8,5,5,7,10,2,9,9,9,9,9,1,1,1,1,1,6,8,9,10,6,9,0,8,8,6,5,6,1,13162
1023,1,11A226,12,40312,1,1,0,02,10,9,9,9,10,10,7,9,7,3,6,9,5,9,8,7,7,9,1,1,3,2,1,7,8,9,9,8,7,5,8,9,7,7,8,1,13162
1023,1,11A226,12,40312,3,1,0,02,8,8,8,10,10,10,9,7,9,9,5,6,6,8,8,7,8,9,2,1,3,1,1,5,7,8,8,7,5,5,8,6,6,5,8,1,13162
