"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","5","12B192","15","22259","1","1","0","01",7,8,9,9,9,9,9,10,9,9,8,9,5,8,8,8,10,9,1,1,2,0,0,10,9,10,10,10,9,8,10,10,9,8,7,1,17785
"1021","5","12B192","15","22259","2","1","0","04",8,9,9,7,10,7,8,9,10,8,5,9,10,6,6,7,6,9,4,4,2,0,0,10,7,8,8,10,10,5,10,10,7,7,7,1,11856
"1021","3","11A204","15","40004","1","1","0","01",6,5,10,10,10,10,10,10,10,10,5,10,0,9,8,10,10,8,1,0,0,0,0,10,10,10,8,10,10,0,8,10,10,10,10,1,29216
"1021","3","11A204","15","40004","4","1","0","05",9,9,9,7,10,10,10,9,10,10,5,10,4,6,4,5,6,6,4,6,4,4,3,9,9,9,8,9,7,3,10,9,6,5,9,1,36520
"1021","3","11A204","15","40004","3","1","0","01",9,9,9,10,10,10,10,10,10,10,9,10,5,6,6,10,10,10,3,4,0,0,0,10,9,7,9,10,7,5,10,7,7,9,7,1,36520
"1021","3","11A204","15","40006","3","1","0","01",8,8,10,10,10,10,10,10,10,10,6,10,1,9,10,10,10,10,1,0,0,0,0,10,9,10,9,10,10,6,10,10,8,8,6,1,21200
"1021","3","11A204","15","40006","4","1","0","04",9,10,10,8,9,8,9,10,9,10,7,9,8,10,10,10,10,9,0,0,0,0,0,10,10,9,10,8,10,6,10,10,8,8,7,1,31800
"1021","3","11A204","15","40006","1","1","0","02",6,7,5,10,10,10,10,10,10,10,10,10,1,10,6,10,10,10,0,4,0,0,0,8,9,10,9,10,10,9,10,9,10,8,10,1,31800
"1021","3","11A204","15","40006","2","1","0","01",7,5,8,8,8,9,10,10,10,10,10,10,6,7,7,7,7,7,3,3,3,3,3,9,10,10,10,10,10,10,10,10,10,10,10,1,52999
"1021","7","11A198","15","40008","1","1","1","01",9,9,10,10,10,8,9,10,9,10,10,8,2,10,10,10,7,10,0,0,0,2,0,10,9,10,10,10,10,5,10,10,8,10,10,1,21411
"1021","7","11A198","15","40008","3","1","1","01",10,8,9,8,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,10,10,10,5,5,1,10706
"1021","7","11A198","15","40008","4","1","0","02",10,10,10,5,10,10,10,10,10,10,5,10,2,10,10,10,10,10,0,0,0,0,0,10,10,10,10,8,10,8,10,10,8,10,10,1,21411
"1021","7","11A198","15","40008","2","1","0","02",8,8,9,8,9,10,10,10,10,10,10,9,8,10,9,9,9,10,0,1,1,1,0,10,10,10,10,2,10,0,10,10,5,0,8,1,42822
"1021","7","11A198","15","40037","1","1","0","04",8,8,10,10,10,10,10,10,10,10,10,10,6,9,6,10,10,10,1,4,0,0,0,9,9,10,8,9,7,7,9,8,8,6,6,1,46258
"1021","7","11A198","15","40037","2","1","1","01",8,8,9,7,10,9,8,10,9,7,7,7,5,8,6,6,6,7,2,3,4,4,0,7,8,7,7,7,7,5,7,6,6,6,6,1,18503
"1021","7","11A198","15","40037","4","1","0","02",9,9,10,10,10,9,10,10,10,9,9,9,4,10,5,7,10,8,0,4,3,0,0,10,10,10,10,10,10,0,10,10,5,5,5,1,27755
"1021","6","11B191","15","40068","3","1","1","01",10,10,10,10,10,10,10,10,10,10,10,10,5,7,7,7,7,10,2,2,2,2,0,10,10,10,10,10,10,10,10,10,5,5,5,1,6840
"1021","6","11B191","15","40068","4","1","0","01",8,8,8,10,10,10,10,10,10,10,10,8,0,10,10,5,6,10,0,0,5,3,0,10,8,7,10,10,5,0,10,10,0,5,8,1,27361
"1021","6","11B191","15","40068","1","1","0","01",8,8,6,9,9,9,8,9,10,10,7,6,8,6,8,8,8,7,2,1,0,0,0,10,8,8,8,9,8,0,8,9,0,0,1,1,13680
"1021","6","11B191","15","40068","2","1","0","01",9,9,9,8,9,9,9,9,8,8,9,9,8,8,8,9,10,10,2,2,0,0,0,9,8,9,8,9,9,7,9,8,7,7,8,1,27361
"1021","3","11A204","15","40092","1","1","0","01",8,8,8,7,9,9,8,9,9,9,9,7,6,7,4,4,7,7,0,5,5,0,0,8,9,8,8,8,8,6,7,8,7,7,6,1,32783
"1021","3","11A204","15","40092","2","1","0","02",9,8,9,10,9,10,10,10,10,10,8,9,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,10,10,8,7,5,1,16392
"1021","3","11A204","15","40092","4","1","0","02",8,8,5,5,8,8,10,8,8,8,8,10,8,7,6,6,6,7,3,3,3,3,2,8,8,8,8,8,8,2,8,9,3,4,1,1,16392
"1021","3","11A204","15","40092","3","1","0","09",8,8,8,9,9,9,9,9,9,9,9,7,7,5,5,5,5,6,5,4,5,4,3,6,7,7,8,8,6,5,8,6,6,7,7,1,57371
