"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","5","11B192","01","40265","3","1","0","05","-","1","3","1","12","15/11/2008","1","02","4","1","6","06",,,,,,1,,6318,0
"00","1021","5","11B192","01","40265","3","1","0","04","-","1","3","1","14","01/10/2007","1","02","5","1","6","06",,,,,,1,,6318,0
"00","1021","5","11B192","01","40265","3","1","0","03","-","1","3","1","16","13/03/2005","1","02","6","1","6","06",,,,,,1,,6318,0
"00","1021","5","11B192","01","40265","3","1","0","01","-","1","1","1","38","04/05/1983","1","02","6","2","1","01","7","2","3","1","001600",1,"1",6318,12733
"00","1021","5","11B192","01","40265","3","1","0","02","-","1","2","2","33","13/07/1988","1","02","4","2","1","07",,,,,,1,,6318,0
"00","1021","5","11B192","01","40265","3","1","0","06","-","1","3","1","08","10/01/2013","1","02","1","1",,,,,,,,1,,6318,0
"00","1021","1","13A206","01","40294","3","1","0","05","-","1","7","1","60","25/11/1960","1","07","5","2","6","01","5","5","3","3","025000",1,,11117,0
"00","1021","1","13A206","01","40294","3","1","0","03","-","1","3","2","08","05/10/2013","1","02","3","1",,,,,,,,1,,11117,0
"00","1021","1","13A206","01","40294","3","1","0","04","-","1","3","1","03","07/05/2018",,,,,,,,,,,,1,,11117,0
"00","1021","1","13A206","01","40294","3","1","0","01","-","1","1","1","42","26/02/1979","1","04","3","2","1","04",,,,,,1,"1",11117,33648
"00","1021","1","13A206","01","40294","4","1","0","01","-","1","1","1","46","13/11/1974","1","09","2","2","1","01","1","5","2","2","022000",1,"1",11117,22432
"00","1021","1","13A206","01","40294","4","1","0","02","-","1","2","2","45","24/02/1976","1","08","2","2","1","01","1","5","3","2","015000",1,,11117,0
"00","1021","1","13A206","01","40294","3","1","0","02","-","1","2","2","41","15/03/1980","1","07","5","2","1","01","1","5","3","2","006000",1,,11117,0
"00","1021","5","12B192","01","40302","1","1","0","02","-","1","3","2","17","07/04/2004","1","04","1","1","6","06",,,,,,1,,6803,0
