"CD","PER","MPIO","N_ENT","AGEB","UPM","AREA","FOL","ENT","CON","N_PRO_VIV","V_SEL","N_HOG","H_MUD","R_PRE","FCH_PRE","R_DEF","FCH_DEF","E_OBS","RFC_ENT","RFC_SUP","P1","P2","P3","P4","R_INF","R_ELE","TEL","R_HAB","R_NUE","R_AUS","DIASEM","HORA","R_PRE_MOD","R_DEF_MOD","TIPO","FACTOR"
"21","1021","004","7","567-3","0206071","21","12A198","02","40141","0002","1","1","0","09","15/10/2021","09","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"09","09",1,0
"21","1021","004","8","354-A","0204837","21","11A197","02","40195","0003","3","1","0","03","13/10/2021","03","20/10/2021","1","-","-",,,,,,,"-",,,,"-",,"03","03",1,0
"21","1021","004","8","354-A","0204837","21","11A197","02","40195","0090","2","1","0","00","04/10/2021","00","11/10/2021","2","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,7145
"21","1021","004","8","354-A","0204837","21","11A197","02","40195","0060","1","1","0","00","04/10/2021","00","11/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,7145
"21","1021","004","8","354-A","0204837","21","11A197","02","40195","0032","4","1","0","00","04/10/2021","00","11/10/2021","2","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,7145
"21","1021","004","6","288-0","0204217","21","11B191","02","40232","0118","2","1","0","00","07/10/2021","00","13/10/2021","1","-","-","05","1",,,"03","03","-","05","00","00","-",,"00","00",1,8318
"21","1021","004","6","288-0","0204217","21","11B191","02","40232","0083","1","1","0","06","15/10/2021","06","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"06","06",1,0
"21","1021","004","6","288-0","0204217","21","11B191","02","40232","0021","3","1","0","05","20/10/2021","05","20/10/2021","1","-","-",,,,,,,"-",,,,"-",,"05","05",1,0
"21","1021","004","6","288-0","0204217","21","11B191","02","40232","0051","4","1","0","00","20/10/2021","00","20/10/2021","2","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,8318
"21","1021","004","2","342-7","0204719","21","12A205","02","40259","0010","1","1","0","00","13/10/2021","00","19/10/2021","2","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,7130
"21","1021","004","2","342-7","0204719","21","12A205","02","40259","0085","3","1","0","07","15/10/2021","07","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"07","07",1,0
"21","1021","004","2","342-7","0204719","21","12A205","02","40259","0108","4","1","0","07","15/10/2021","07","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"07","07",1,0
"21","1021","004","2","342-7","0204719","21","12A205","02","40259","0057","2","1","0","14","18/10/2021","14","20/10/2021","1","-","-","03","1",,,"03","02","-","03","00","00","-",,"14","14",1,0
"21","1021","004","2","177-4","0203827","21","11A205","02","40260","0170","4","1","0","00","04/10/2021","00","11/10/2021","1","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,7752
"21","1021","004","2","177-4","0203827","21","11A205","02","40260","0062","2","1","0","00","06/10/2021","00","13/10/2021","1","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,7752
"21","1021","004","2","177-4","0203827","21","11A205","02","40260","0105","3","1","0","00","04/10/2021","00","11/10/2021","2","-","-","03","1",,,"01","01","-","01","02","00","-",,"00","00",1,7752
"21","1021","004","2","177-4","0203827","21","11A205","02","40260","0019","1","1","1","00","04/10/2021","00","11/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,7752
"21","1021","004","6","729-4","0206789","21","13B191","02","40269","0203","1","1","0","00","03/10/2021","00","11/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,8804
"21","1021","004","6","729-4","0206789","21","13B191","02","40269","0035","2","1","0","00","03/10/2021","00","11/10/2021","1","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,8804
"21","1021","004","6","729-4","0206789","21","13B191","02","40269","0148","4","1","0","00","05/10/2021","00","11/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,8804
"21","1021","004","6","729-4","0206789","21","13B191","02","40269","0090","3","1","0","03","15/10/2021","03","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"03","03",1,0
"21","1021","004","5","366-2","0204930","21","11B192","02","40329","0027","1","1","0","00","04/10/2021","00","13/10/2021","2","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,18547
"21","1021","004","5","366-2","0204930","21","11B192","02","40329","0150","3","1","0","00","09/10/2021","00","13/10/2021","2","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,18547
"21","1021","004","5","366-2","0204930","21","11B192","02","40329","0239","4","1","0","00","09/10/2021","00","13/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,18547
"21","1021","004","5","366-2","0204930","21","11B192","02","40329","0098","2","1","1","00","09/10/2021","00","13/10/2021","2","-","-","03","1",,,"01","02","-","03","00","00","-",,"00","00",1,18547
"21","1021","004","4","583-2","0206143","21","13A203","02","40349","0003","3","1","0","00","14/10/2021","00","20/10/2021","2","-","-","04","1",,,"02","04","-","04","00","00","-",,"00","00",1,8951
"21","1021","004","4","583-2","0206143","21","13A203","02","40349","0072","1","1","1","00","01/10/2021","00","11/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,8951
"21","1021","004","4","583-2","0206143","21","13A203","02","40349","0043","2","1","0","06","15/10/2021","06","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"06","06",1,0
"21","1021","004","4","583-2","0206143","21","13A203","02","40349","0096","4","1","0","00","14/10/2021","00","19/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,8951
"21","1021","004","5","411-A","0205354","21","12B192","02","40366","0071","2","1","0","00","04/10/2021","00","11/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,7289
"21","1021","004","5","411-A","0205354","21","12B192","02","40366","0046","3","1","0","00","04/10/2021","00","11/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,7289
"21","1021","004","5","411-A","0205354","21","12B192","02","40366","0083","4","1","0","00","05/10/2021","00","11/10/2021","1","-","-","05","1",,,"03","03","-","05","00","00","-",,"00","00",1,7289
"21","1021","004","5","411-A","0205354","21","12B192","02","40366","0017","1","1","0","01","19/10/2021","01","20/10/2021","1","-","-",,,,,,,"-",,,,"-",,"01","01",1,0
"21","1021","004","4","425-1","0205394","21","11A203","02","40381","0007","3","1","0","00","12/10/2021","00","19/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,8358
"21","1021","004","4","425-1","0205394","21","11A203","02","40381","0067","1","1","0","00","13/10/2021","00","19/10/2021","1","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,8358
"21","1021","004","4","425-1","0205394","21","11A203","02","40381","0040","4","1","0","00","09/10/2021","00","19/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,8358
"21","1021","004","4","425-1","0205394","21","11A203","02","40381","0125","2","1","0","00","08/10/2021","00","19/10/2021","2","-","-","04","1",,,"02","02","-","04","00","00","-",,"00","00",1,8358
"21","1021","004","1","045-6","0203289","21","12A206","02","40391","0186","3","1","0","07","17/10/2021","07","19/10/2021","1","-","-",,,,,,,"-",,,,"-",,"07","07",1,0
"21","1021","004","1","045-6","0203289","21","12A206","02","40391","0021","4","1","0","08","20/10/2021","08","20/10/2021","1","-","-",,,,,,,"-",,,,"-",,"08","08",1,0
"21","1021","004","1","045-6","0203289","21","12A206","02","40391","0069","1","1","0","00","04/10/2021","00","19/10/2021","2","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,15606
"21","1021","004","1","045-6","0203289","21","12A206","02","40391","0125","2","1","0","00","17/10/2021","00","19/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,15606
"40","1021","003","3","225-2","0300150","40","12A204","03","40002","0138","1","1","0","06","21/10/2021","06","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"06","06",1,0
"40","1021","003","3","225-2","0300150","40","12A204","03","40002","0095","3","1","1","00","18/10/2021","00","19/10/2021","1","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,6681
"40","1021","003","3","225-2","0300150","40","12A204","03","40002","0034","4","1","0","00","13/10/2021","00","21/10/2021","2","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,6681
"40","1021","003","3","225-2","0300150","40","12A204","03","40002","0082","2","1","0","00","19/10/2021","00","21/10/2021","1","-","-","02","1",,,"02","01","-","02","00","00","-",,"00","00",1,6681
"40","1021","003","7","292-4","0300171","40","12A198","03","40063","0094","1","1","1","00","18/10/2021","00","21/10/2021","2","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,6025
