N_ENT,ENT,N_REN,cb_P1,cb_P2,cb_P3_1,cb_P3_2,cb_P3_3,cb_P3_4,cb_P3_5,cb_P3_6,cb_P3_7,cb_P3_8,cb_P3_9,cb_P3_10,cb_P3_11,cb_P4_1,cb_P4_2,cb_P4_3,cb_P4_4,cb_P4_5,cb_P4_6,cb_P4_7,cb_P4_8,cb_P4_9,cb_P4_10,cb_P5_1,cb_P5_2,cb_P5_3,cb_P5_4,cb_P5_5,cb_P5_6,cb_P5_7,cb_P5_8,cb_P5_9,cb_P5_10,cb_P5_11,cb_P5_12,cs_SEX,cs_EDA,cs_ALF,cs_I_NIV,cs_E_CON,cs_C_ACT,cs_OCU,cs_A_ECO,cs_POS,cs_ING,viv_FCH_PRE,viv_FCH_DEF,viv_P1,viv_P2,viv_P3,viv_P4,ANIO
6,Coahuila,3,9,9,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,0,0,0,0,0,9,10,10,10,10,10,10,10,8,10,10,10,Hombre,46,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",2400.0,2022-10-03,2022-10-07,3,Sí,1,3,2022
6,Coahuila,1,8,8,10,10,10,10,10,10,10,10,10,10,7,10,10,10,8,6,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,Hombre,70,Sabe leer y escribir,Primaria,Viudo(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-03,2022-10-07,2,Sí,1,2,2022
6,Coahuila,1,7,7,5,10,10,10,10,10,10,10,10,10,5,10,10,7,10,10,0,0,2,0,0,7,7,10,10,10,10,10,10,10,10,10,10,Hombre,63,Sabe leer y escribir,Secundaria,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1500.0,2022-10-03,2022-10-07,3,Sí,1,3,2022
6,Coahuila,1,8,7,9,8,8,9,9,9,9,8,9,9,8,4,5,6,6,7,5,5,4,4,3,5,7,8,7,8,8,7,8,9,5,8,7,Hombre,75,Sabe leer y escribir,Primaria,Casado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-03,2022-10-07,2,Sí,1,2,2022
1,Coahuila,6,10,10,10,10,10,10,10,10,10,10,10,10,3,9,10,10,10,10,1,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,Mujer,28,Sabe leer y escribir,Secundaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-04,2022-10-07,6,Sí,1,6,2022
1,Coahuila,1,9,9,9,9,10,9,10,10,10,10,9,9,8,5,5,5,9,8,4,5,5,1,2,9,7,10,10,10,10,10,10,8,10,10,9,Hombre,67,Sabe leer y escribir,Profesional,Divorciado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-06,2022-10-07,1,No aplica,1,1,2022
1,Coahuila,1,7,7,10,10,10,10,10,10,7,10,10,10,0,10,10,7,10,10,0,0,2,0,0,7,9,10,7,7,7,7,8,10,10,10,10,Mujer,56,Sabe leer y escribir,Secundaria,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2022-10-18,2022-10-19,2,Sí,1,2,2022
1,Coahuila,3,8,7,10,8,10,8,8,10,7,8,8,10,5,8,9,8,10,8,1,1,1,0,0,8,8,10,8,10,10,4,10,10,10,8,4,Hombre,20,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-06,2022-10-14,4,Sí,1,4,2022
4,Coahuila,1,9,9,9,9,10,8,9,8,8,10,7,8,3,8,9,8,9,8,0,0,1,1,0,8,10,7,9,9,8,7,9,9,8,8,6,Mujer,31,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-17,2022-10-19,1,No aplica,1,1,2022
4,Coahuila,1,8,8,8,8,10,8,8,8,9,9,10,8,7,5,5,4,9,4,5,5,5,1,1,8,5,8,8,8,5,8,8,8,9,9,5,Mujer,41,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,3000.0,2022-10-12,2022-10-14,2,Sí,1,2,2022
4,Coahuila,1,10,10,9,9,10,10,10,10,10,10,5,9,1,9,9,8,9,8,1,1,1,1,0,9,10,9,9,9,9,7,9,9,8,8,7,Hombre,53,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2022-10-03,2022-10-14,2,Sí,1,2,2022
4,Coahuila,4,7,5,8,10,10,9,8,9,9,9,10,7,8,7,7,5,7,6,1,3,4,3,0,8,10,8,7,9,7,2,6,8,6,7,7,Hombre,22,Sabe leer y escribir,Profesional,Soltero(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2022-10-03,2022-10-07,4,Sí,1,4,2022
5,Coahuila,1,8,6,9,7,10,8,9,10,9,10,9,8,7,6,8,7,8,3,3,2,2,1,6,9,8,9,8,9,7,8,8,9,9,9,8,Hombre,37,Sabe leer y escribir,Carrera técnica,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1400.0,2022-10-04,2022-10-19,5,Sí,1,5,2022
5,Coahuila,2,9,8,9,8,8,9,9,9,7,10,0,6,4,10,9,10,8,10,0,1,0,2,0,8,6,10,8,10,10,5,8,8,8,8,5,Mujer,21,Sabe leer y escribir,Profesional,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-04,2022-10-07,2,Sí,1,2,2022
5,Coahuila,1,10,10,10,10,10,10,10,10,10,10,10,10,2,9,8,9,9,10,1,1,0,0,0,10,10,10,10,10,10,7,9,10,10,9,8,Hombre,33,Sabe leer y escribir,Secundaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2022-10-10,2022-10-14,2,Sí,1,2,2022
5,Coahuila,2,5,8,10,9,10,10,9,9,10,10,10,9,2,10,8,7,9,10,0,1,3,0,0,10,5,9,9,9,8,8,8,10,10,10,8,Mujer,32,Sabe leer y escribir,Preparatoria o bachillerato,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",900.0,2022-10-04,2022-10-19,4,Sí,1,4,2022
4,Coahuila,5,7,5,10,7,10,7,10,10,10,10,10,10,8,7,5,7,8,9,2,3,2,1,0,8,10,8,7,7,8,6,8,8,6,6,6,Mujer,20,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-11,2022-10-19,4,Sí,1,4,2022
4,Coahuila,2,7,6,9,10,10,8,5,7,10,10,10,7,5,0,7,0,2,5,0,3,5,7,0,6,8,3,8,7,8,7,6,6,3,8,7,Mujer,25,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,700.0,2022-10-04,2022-10-07,3,Sí,1,3,2022
5,Coahuila,1,10,10,10,10,10,10,10,10,10,10,5,10,3,8,7,5,8,5,1,2,3,1,3,10,10,10,10,10,8,8,8,9,8,9,9,Hombre,54,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",10000.0,2022-10-05,2022-10-07,6,Sí,1,6,2022
5,Coahuila,1,9,9,9,9,9,9,9,9,9,9,10,9,0,10,10,8,10,10,0,0,0,0,0,9,9,10,9,9,10,2,9,9,8,9,8,Mujer,70,Sabe leer y escribir,Primaria,Viudo(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,150.0,2022-10-05,2022-10-07,3,Sí,1,3,2022
5,Coahuila,1,10,10,10,10,10,10,10,10,10,9,10,9,0,9,9,9,10,9,0,1,1,0,0,9,10,8,9,10,7,8,8,10,9,9,8,Hombre,37,Sabe leer y escribir,Secundaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1000.0,2022-10-14,2022-10-14,3,Sí,1,3,2022
5,Coahuila,2,8,8,9,9,10,9,10,10,10,10,8,8,2,10,9,5,8,9,0,1,4,2,0,10,9,10,9,10,10,8,9,10,9,9,5,Hombre,64,Sabe leer y escribir,Secundaria,Casado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-17,2022-10-20,2,Sí,1,2,2022
8,Coahuila,1,8,6,10,10,10,10,10,10,10,10,10,10,8,8,6,8,7,8,0,3,1,0,0,9,9,8,9,9,10,10,10,10,9,9,7,Mujer,40,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Personal administrativo,Comercio,Patrón(a),70000.0,2022-10-11,2022-10-14,4,Sí,1,4,2022
8,Coahuila,2,9,9,10,10,10,10,10,10,10,10,10,10,3,10,10,9,10,10,0,0,1,0,0,10,10,10,10,10,8,9,10,10,10,10,8,Mujer,29,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",15000.0,2022-10-05,2022-10-14,3,Sí,1,3,2022
8,Coahuila,2,10,10,9,10,7,9,9,9,8,9,8,9,2,10,10,9,10,8,0,0,1,0,0,10,9,9,10,9,9,8,10,10,10,8,8,Mujer,47,Sabe leer y escribir,Profesional,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-15,2022-10-19,4,Sí,1,4,2022
1,Coahuila,1,9,9,9,8,10,9,9,10,10,9,10,9,7,6,7,8,10,8,3,3,0,0,0,10,10,9,9,9,10,8,9,10,8,8,7,Hombre,64,Sabe leer y escribir,Profesional,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Funcionarios de los sectores público y privado,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",14000.0,2022-10-12,2022-10-14,1,No aplica,1,1,2022
1,Coahuila,1,9,9,9,10,10,10,10,10,10,10,10,10,3,9,10,10,10,10,1,0,0,0,0,9,9,10,10,10,10,10,10,7,10,10,10,Mujer,69,Sabe leer y escribir,Carrera técnica,Viudo(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) a comisión o porcentaje,22000.0,2022-10-05,2022-10-07,4,Sí,1,4,2022
1,Coahuila,1,0,0,8,10,10,10,9,10,10,10,10,8,8,5,5,6,9,6,2,4,3,1,0,8,10,10,8,8,5,6,8,10,10,5,4,Hombre,75,Sabe leer y escribir,Carrera técnica,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,1000.0,2022-10-05,2022-10-14,5,Sí,1,5,2022
8,Coahuila,1,2,3,3,3,7,5,2,2,4,4,7,1,6,1,5,5,6,2,7,5,5,4,5,1,2,3,1,1,1,2,3,1,5,0,0,Hombre,75,Sabe leer y escribir,Secundaria,Divorciado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-07,2022-10-14,1,No aplica,1,1,2022
8,Coahuila,1,7,8,5,6,9,7,6,7,8,8,6,5,9,6,4,5,7,4,4,5,5,2,3,4,4,3,5,6,7,7,8,3,5,6,7,Mujer,62,Sabe leer y escribir,Primaria,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,1200.0,2022-10-12,2022-10-14,2,Sí,1,2,2022
8,Coahuila,1,9,9,10,7,9,8,9,9,8,8,9,9,8,9,9,8,8,8,1,1,2,1,2,9,8,8,7,8,9,8,9,9,8,9,9,Mujer,67,Sabe leer y escribir,Profesional,Soltero(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-05,2022-10-07,2,Sí,1,2,2022
3,Colima,1,10,10,9,10,10,7,10,9,8,9,10,10,3,9,8,7,8,8,0,1,3,0,0,9,10,10,10,8,9,8,10,10,10,10,10,Mujer,72,No sabe leer y escribir,Carrera técnica,Casado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-05,2022-10-06,1,No aplica,1,1,2022
3,Colima,1,10,10,10,10,10,9,10,10,9,8,10,10,4,8,8,6,7,7,2,2,3,2,2,8,8,9,10,10,10,8,9,10,9,8,8,Hombre,60,Sabe leer y escribir,Secundaria,Separado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-03,2022-10-06,1,No aplica,1,1,2022
3,Colima,1,10,9,10,10,10,10,10,10,9,10,10,10,1,8,7,9,10,7,1,2,1,0,0,9,10,9,10,9,9,6,10,9,9,8,8,Hombre,23,Sabe leer y escribir,Profesional,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-03,2022-10-06,2,Sí,1,2,2022
3,Colima,1,8,8,7,8,8,9,10,7,9,9,8,8,5,7,6,6,6,6,1,3,4,1,3,8,8,9,9,8,7,5,8,6,8,9,10,Hombre,57,Sabe leer y escribir,Primaria,Separado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-03,2022-10-06,2,Sí,1,2,2022
7,Colima,2,10,10,10,9,10,10,10,10,9,10,10,8,3,8,7,6,9,8,2,2,3,0,1,10,8,9,10,9,10,4,9,10,10,8,9,Mujer,61,Sabe leer y escribir,Primaria,Casado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-04,2022-10-18,2,Sí,1,2,2022
7,Colima,1,8,7,8,8,10,7,8,8,7,9,9,7,8,7,4,7,7,6,3,4,3,2,2,10,10,9,7,8,9,4,10,10,10,7,7,Hombre,41,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,12000.0,2022-10-05,2022-10-06,2,Sí,1,2,2022
7,Colima,1,10,8,10,10,10,9,10,10,7,10,10,9,4,8,7,8,10,7,1,2,1,0,0,10,10,10,8,10,9,5,10,10,10,8,8,Hombre,42,Sabe leer y escribir,Maestría,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,,2022-10-04,2022-10-06,1,No aplica,1,1,2022
7,Colima,1,10,10,10,9,10,7,10,7,7,9,10,8,5,8,7,5,5,6,2,3,3,3,3,10,9,10,10,10,10,4,10,10,10,9,8,Mujer,67,Sabe leer y escribir,Profesional,Viudo(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-04,2022-10-06,1,No aplica,1,1,2022
7,Colima,1,8,8,9,9,10,8,9,8,9,10,10,10,3,6,5,6,7,7,3,5,4,3,2,8,8,9,9,9,9,4,9,9,9,8,8,Hombre,42,Sabe leer y escribir,Maestría,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-07,2022-10-12,2,Sí,1,2,2022
7,Colima,2,9,8,10,8,9,7,8,10,9,9,10,9,9,9,8,8,9,7,0,2,1,1,2,8,9,9,9,7,9,5,9,8,9,7,8,Mujer,58,Sabe leer y escribir,Primaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-12,2022-10-17,3,Sí,1,3,2022
7,Colima,1,10,10,9,7,8,7,9,7,8,10,10,8,6,8,4,5,6,7,2,6,5,3,3,7,7,8,7,7,8,6,7,9,9,7,7,Mujer,87,No sabe leer y escribir,Ninguno,Soltero(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-09,2022-10-12,1,No aplica,1,1,2022
7,Colima,1,8,7,9,10,10,10,10,10,10,10,10,9,2,9,9,9,10,9,1,1,0,0,0,9,10,10,7,8,10,5,10,10,9,8,8,Hombre,44,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2022-10-09,2022-10-14,3,Sí,1,3,2022
1,Colima,1,7,7,8,5,8,4,8,5,5,8,10,8,10,5,5,5,6,3,2,5,4,2,6,8,6,8,9,6,8,5,8,10,10,7,7,Mujer,72,Sabe leer y escribir,Primaria,Viudo(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-05,2022-10-06,2,Sí,1,2,2022
1,Colima,2,10,8,10,10,10,8,10,10,10,10,10,10,2,10,9,10,10,10,0,1,0,0,0,9,10,10,10,10,10,5,10,10,8,8,8,Mujer,44,Sabe leer y escribir,Carrera técnica,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,2500.0,2022-10-16,2022-10-18,4,Sí,1,4,2022
1,Colima,1,10,10,10,8,10,7,8,8,6,9,8,8,5,6,5,7,6,8,4,4,3,1,2,8,10,8,9,8,10,6,10,8,8,8,7,Mujer,27,Sabe leer y escribir,Profesional,Soltero(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2022-10-19,2022-10-19,1,No aplica,1,1,2022
1,Colima,1,10,10,10,10,10,10,10,10,10,10,9,10,1,8,9,10,9,8,2,1,0,1,0,9,10,10,10,10,10,3,10,10,10,9,9,Hombre,31,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2022-10-06,2022-10-12,2,Sí,1,2,2022
2,Colima,1,8,7,9,7,9,6,8,7,7,8,8,8,5,6,4,6,7,6,3,6,3,2,4,8,8,7,7,7,8,5,8,10,9,8,8,Hombre,50,Sabe leer y escribir,Maestría,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",13000.0,2022-10-07,2022-10-12,4,Sí,1,4,2022
2,Colima,1,8,10,8,9,9,9,9,8,9,10,8,9,7,5,3,5,6,7,4,6,4,3,3,9,8,10,7,9,9,6,9,10,10,9,7,Hombre,40,Sabe leer y escribir,Maestría,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-07,2022-10-12,1,No aplica,1,1,2022
2,Colima,1,10,8,10,7,8,8,8,8,6,8,8,8,3,5,5,6,5,6,3,4,3,4,4,8,10,8,8,8,7,4,9,10,9,8,8,Mujer,50,Sabe leer y escribir,Profesional,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2022-10-12,2022-10-19,2,Sí,1,2,2022
2,Colima,2,10,7,10,8,10,8,10,10,8,9,10,10,2,8,5,6,7,5,2,3,3,3,0,9,10,8,9,9,10,4,8,9,9,9,8,Mujer,38,Sabe leer y escribir,Profesional,Casado(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2022-10-12,2022-10-14,4,Sí,1,4,2022
6,Colima,1,8,9,9,9,8,9,9,9,7,8,8,9,5,2,6,8,8,7,7,4,0,2,3,7,8,8,9,7,8,4,7,8,6,8,7,Mujer,25,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-07,2022-10-12,2,Sí,1,2,2022
6,Colima,1,9,9,10,7,10,5,10,5,5,10,10,8,8,5,4,6,7,5,3,6,3,3,5,7,8,8,10,5,10,3,8,10,10,9,8,Mujer,83,Sabe leer y escribir,Primaria,Viudo(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-20,2022-10-24,1,No aplica,1,1,2022
6,Colima,1,8,5,9,9,8,6,8,8,8,10,10,8,5,7,6,5,8,5,3,4,4,1,4,7,9,8,7,7,8,4,8,8,10,8,7,Hombre,50,Sabe leer y escribir,Profesional,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,,2022-10-07,2022-10-12,1,No aplica,1,1,2022
6,Colima,1,8,7,7,8,9,8,9,8,7,9,9,10,7,7,7,6,6,6,2,3,4,4,4,8,9,8,10,8,9,5,10,10,10,7,6,Mujer,43,Sabe leer y escribir,Profesional,Separado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-13,2022-10-17,3,Sí,1,3,2022
6,Colima,3,9,9,9,10,10,9,10,10,8,10,9,10,1,8,7,6,5,7,2,2,4,4,2,10,9,9,10,10,9,5,9,10,8,8,8,Hombre,18,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2022-10-13,2022-10-17,3,Sí,1,3,2022
6,Colima,1,9,7,9,10,9,10,10,10,8,10,10,10,2,7,6,7,10,9,2,3,3,0,0,9,10,10,10,9,10,5,9,9,9,8,8,Mujer,64,Sabe leer y escribir,Primaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1750.0,2022-10-14,2022-10-18,1,No aplica,1,1,2022
2,Colima,1,8,8,8,9,9,9,8,8,8,8,7,8,9,7,5,7,7,7,3,5,3,2,3,9,9,8,9,8,7,3,7,9,9,6,5,Hombre,47,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-11,2022-10-12,1,No aplica,1,1,2022
2,Colima,1,9,7,10,9,9,9,10,9,10,9,9,9,8,7,6,7,7,7,3,3,3,2,3,9,9,9,7,9,9,3,8,9,9,7,8,Mujer,51,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",3000.0,2022-10-10,2022-10-12,2,Sí,1,2,2022
2,Colima,1,10,9,10,10,9,9,10,10,9,10,9,9,8,7,7,7,7,7,2,2,2,2,2,10,10,9,9,9,9,5,8,9,8,8,7,Mujer,19,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-11,2022-10-12,2,Sí,1,2,2022
2,Colima,2,10,9,10,10,10,10,10,10,9,10,10,10,0,8,9,7,9,10,1,1,2,1,0,10,9,10,10,10,10,2,10,10,10,8,8,Mujer,25,Sabe leer y escribir,Preparatoria o bachillerato,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-10,2022-10-12,3,Sí,1,3,2022
4,Colima,2,9,9,8,7,8,7,8,8,7,9,9,9,6,7,6,7,8,6,3,4,3,2,0,9,8,9,9,9,9,4,9,9,9,7,7,Mujer,46,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Buscó trabajo,No trabaja,No trabaja,No trabaja,,2022-10-14,2022-10-18,5,Sí,1,5,2022
4,Colima,1,8,8,9,9,9,9,10,8,9,9,10,9,8,8,7,8,10,9,2,2,1,0,1,9,9,9,8,9,9,3,8,9,9,8,8,Hombre,42,Sabe leer y escribir,Profesional,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-13,2022-10-18,1,No aplica,1,1,2022
4,Colima,1,8,8,8,9,10,9,8,9,7,9,9,10,4,4,8,8,7,8,3,2,1,0,0,8,9,9,7,9,10,4,10,10,10,9,8,Hombre,49,Sabe leer y escribir,Profesional,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",,2022-10-14,2022-10-18,1,No aplica,1,1,2022
4,Colima,1,8,8,9,7,10,8,8,6,6,9,10,9,6,6,7,5,6,7,3,3,4,4,3,5,7,7,6,7,8,4,8,8,8,8,8,Hombre,56,Sabe leer y escribir,Preparatoria o bachillerato,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",1800.0,2022-10-13,2022-10-17,1,No aplica,1,1,2022
4,Colima,2,9,7,10,9,10,10,10,9,9,10,10,9,0,10,6,10,10,10,0,0,0,0,0,9,10,9,10,10,10,2,10,10,8,7,9,Hombre,18,Sabe leer y escribir,Carrera técnica,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",6000.0,2022-10-16,2022-10-18,4,Sí,1,4,2022
4,Colima,1,10,8,10,9,10,10,10,10,7,10,10,10,2,7,7,8,8,9,2,2,2,2,0,8,10,10,8,8,9,3,10,9,9,8,8,Mujer,39,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",6000.0,2022-10-14,2022-10-18,1,No aplica,1,1,2022
4,Colima,1,8,8,10,10,10,8,9,10,6,8,10,8,5,5,5,4,5,6,5,4,6,4,4,7,5,9,9,9,9,3,9,10,10,8,8,Mujer,65,Sabe leer y escribir,Carrera técnica,Viudo(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2022-10-20,2022-10-24,1,No aplica,1,1,2022
4,Colima,2,9,8,9,9,9,9,8,9,7,10,10,10,3,6,6,7,9,6,3,4,3,1,0,8,10,8,9,8,7,6,9,10,8,8,8,Mujer,30,Sabe leer y escribir,Carrera técnica,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,,2022-10-16,2022-10-19,4,Sí,1,4,2022
5,Colima,2,9,9,10,8,10,9,10,10,9,10,10,10,3,7,6,8,10,9,3,3,2,0,0,8,10,8,10,9,8,5,9,9,9,8,10,Mujer,42,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2022-10-13,2022-10-24,2,Sí,1,2,2022
